setup_type,forecast_direction,primary_regime,ticker_archetype,sample_size,true_during_week_rate,average_best_correct_return_pct,average_adverse_move_pct,average_held_to_end_pl_per_share,average_conviction_score,recommended_score_adjustment
MOMENTUM_CONTINUATION,UP,NORMAL,FINANCIAL,379,76.78,2.709,-2.119,1.5219,33.11,10
MOMENTUM_CONTINUATION,UP,NORMAL,MEGA_CAP_TECH,192,75.52,2.633,-2.218,0.8838,34.68,10
UP_OPPORTUNITY,UP,NORMAL,MEGA_CAP_TECH,134,80.6,2.985,-2.28,2.1694,13.49,10
UP_OPPORTUNITY,UP,HIGH_VOL,FINANCIAL,31,83.87,3.956,-2.444,2.3946,17.35,10
MOMENTUM_CONTINUATION,UP,NORMAL,NORMAL,22646,74.68,3.053,-2.649,0.8019,34.44,8
UP_OPPORTUNITY,UP,NORMAL,NORMAL,20037,74.06,3.213,-2.832,0.6238,14.81,8
DOWN_OPPORTUNITY,DOWN,NORMAL,NORMAL,14700,70.7,3.222,-3.098,0.246,13.83,8
BREAKDOWN_CONTINUATION,DOWN,NORMAL,NORMAL,12512,70.86,3.123,-3.093,0.3898,31.02,8
BREAKDOWN_CONTINUATION,DOWN,HIGH_VOL,NORMAL,5849,77.06,3.869,-4.224,-0.7724,34.87,8
DOWN_OPPORTUNITY,DOWN,HIGH_VOL,NORMAL,5064,75.32,3.737,-4.12,-0.5092,15.89,8
UP_OPPORTUNITY,UP,HIGH_VOL,NORMAL,3533,75.66,3.627,-3.307,0.3159,15.22,8
MOMENTUM_CONTINUATION,UP,HIGH_VOL,NORMAL,2595,70.4,3.288,-3.328,0.1329,35.62,8
MOMENTUM_CONTINUATION,UP,NORMAL,DEFENSIVE_STABLE,585,70.26,2.049,-1.682,0.7546,27.78,8
UP_OPPORTUNITY,UP,NORMAL,MOMENTUM_HIGH_BETA,578,81.14,5.443,-4.855,0.4475,28.23,8
MOMENTUM_CONTINUATION,UP,NORMAL,MOMENTUM_HIGH_BETA,542,86.16,6.321,-4.371,1.7878,58.69,8
MOMENTUM_CONTINUATION,UP,NORMAL,CYCLICAL,490,77.14,3.193,-2.572,1.3794,36.12,8
UP_OPPORTUNITY,UP,NORMAL,DEFENSIVE_STABLE,404,66.58,2.119,-1.886,0.78,11.39,8
UP_OPPORTUNITY,UP,NORMAL,CYCLICAL,380,74.74,3.299,-2.745,0.5942,15.19,8
DOWN_OPPORTUNITY,DOWN,NORMAL,DEFENSIVE_STABLE,321,67.29,2.165,-1.98,0.4624,10.42,8
DOWN_OPPORTUNITY,DOWN,NORMAL,MOMENTUM_HIGH_BETA,311,79.74,5.436,-5.207,0.2472,16.34,8
UP_OPPORTUNITY,UP,NORMAL,FINANCIAL,269,70.63,2.648,-2.691,0.5406,14.43,8
DOWN_OPPORTUNITY,DOWN,NORMAL,CYCLICAL,257,68.87,3.115,-3.151,-0.036,13.61,8
BREAKDOWN_CONTINUATION,DOWN,NORMAL,MOMENTUM_HIGH_BETA,230,74.78,5.532,-6.849,0.5921,37.95,8
BREAKDOWN_CONTINUATION,DOWN,HIGH_VOL,MOMENTUM_HIGH_BETA,152,76.32,6.794,-8.575,-2.3177,43.93,8
DOWN_OPPORTUNITY,DOWN,HIGH_VOL,MOMENTUM_HIGH_BETA,132,87.12,6.526,-6.26,2.7726,18.77,8
UP_OPPORTUNITY,UP,HIGH_VOL,DEFENSIVE_STABLE,100,76.0,2.428,-2.456,0.033,12.53,8
MOMENTUM_CONTINUATION,UP,HIGH_VOL,DEFENSIVE_STABLE,96,75.0,2.391,-2.085,0.7802,30.82,8
