ticker,sample_size,true_during_week_rate,average_best_correct_return_pct,average_adverse_move_pct,average_conviction_score,buy_calls,sell_calls,watch_calls
SNDK,52,80.77,10.4,-6.375,31.44,16,0,36
MPWR,236,79.24,4.969,-3.98,28.77,41,18,177
APP,229,79.04,7.333,-6.237,37.34,71,25,133
Q,17,76.47,6.829,-3.751,37.06,8,0,9
HOOD,216,76.39,6.487,-5.953,32.3,39,25,152
GNRC,236,75.85,4.994,-4.251,28.86,27,25,184
CCL,236,75.42,5.651,-4.348,29.65,33,28,175
COHR,236,75.0,5.624,-5.178,29.95,40,21,175
CVNA,236,75.0,9.796,-7.762,32.82,39,38,159
SMCI,236,73.73,7.147,-6.707,34.28,63,15,158
PLTR,236,73.31,5.649,-5.748,34.54,65,12,159
DDOG,236,72.88,5.242,-4.805,28.88,32,25,179
TSLA,236,72.88,5.163,-4.739,31.89,53,19,164
CRWD,236,72.46,4.712,-4.086,27.61,35,18,183
NCLH,236,72.03,5.255,-4.453,29.18,37,29,170
DASH,236,71.61,4.952,-4.891,28.58,29,26,181
LRCX,236,71.61,3.941,-3.847,27.92,40,15,181
NVDA,236,71.61,4.607,-4.17,34.32,72,11,153
WBD,236,71.61,4.558,-4.255,25.43,18,20,198
XYZ,236,71.61,4.97,-5.233,29.92,36,32,168
EQT,236,71.19,3.721,-3.617,24.51,24,6,206
ON,236,71.19,4.555,-4.356,28.13,32,14,190
AMAT,236,70.76,3.719,-3.538,25.91,34,12,190
VRT,236,70.76,5.062,-4.921,30.42,50,17,169
AMD,236,70.34,5.152,-4.379,34.11,61,13,162
LITE,236,70.34,5.027,-4.534,28.48,36,22,178
TER,236,70.34,4.257,-3.553,27.16,32,15,189
TPL,236,70.34,4.129,-3.39,24.69,29,13,194
TTD,236,70.34,5.022,-5.218,26.58,26,31,179
DECK,236,69.92,3.597,-3.44,25.12,20,13,203
EPAM,236,69.92,4.106,-3.846,26.74,15,27,194
META,236,69.92,3.784,-2.973,29.14,48,11,177
MU,236,69.92,4.441,-4.322,27.29,34,14,188
RCL,236,69.92,4.582,-3.679,28.36,36,18,182
COIN,229,69.87,7.7,-6.856,34.19,46,33,150
DLTR,236,69.49,3.155,-2.715,24.93,19,11,206
SWKS,236,69.49,3.276,-2.799,22.73,11,14,211
VST,236,69.49,4.183,-3.771,25.95,32,10,194
WDC,236,69.49,4.787,-3.897,26.32,27,12,197
EXE,236,69.07,3.036,-2.998,21.6,14,3,219
MRNA,236,69.07,5.42,-5.164,27.86,27,29,180
NUE,236,69.07,3.625,-3.108,26.18,36,12,188
PSKY,236,69.07,4.073,-4.52,24.75,16,27,193
TECH,236,69.07,3.517,-3.616,23.13,10,17,209
CEG,193,68.91,4.255,-3.604,24.08,18,12,163
ALB,236,68.64,5.024,-4.935,30.48,38,27,171
DXCM,236,68.64,3.726,-3.583,25.66,26,24,186
BLDR,236,68.22,4.062,-3.908,28.68,37,25,174
NFLX,236,68.22,3.374,-2.888,28.47,46,9,181
STX,236,68.22,4.108,-3.394,24.82,28,7,201
UBER,236,68.22,3.921,-3.773,25.67,19,16,201
WSM,236,68.22,3.823,-3.657,26.21,29,16,191
AMZN,236,67.8,3.052,-2.956,28.48,44,11,181
APA,236,67.8,4.256,-4.218,26.85,34,19,183
BX,236,67.8,3.716,-3.145,25.19,20,16,200
FICO,236,67.8,3.321,-3.052,24.85,19,12,205
KLAC,236,67.8,3.566,-3.697,25.38,30,10,196
SATS,236,67.8,4.802,-4.504,25.01,22,19,195
UAL,236,67.8,4.298,-4.055,26.55,26,17,193
ALGN,236,67.37,4.145,-3.964,25.56,15,25,196
LEN,236,67.37,3.322,-3.13,25.33,20,13,203
CRL,236,66.95,3.42,-3.811,25.42,19,22,195
DAL,236,66.95,3.77,-3.105,24.49,24,13,199
DELL,236,66.95,4.157,-3.65,26.19,32,13,191
FTNT,236,66.95,3.362,-3.593,22.36,11,9,216
MPC,236,66.95,3.048,-2.767,23.09,21,6,209
TPR,236,66.95,3.641,-3.109,25.08,25,11,200
CIEN,236,66.53,3.882,-3.443,26.11,33,15,188
EFX,236,66.53,3.005,-2.693,22.02,12,13,211
LULU,236,66.53,3.662,-3.071,26.06,22,19,195
NOW,236,66.53,3.339,-3.508,23.69,12,13,211
TRGP,236,66.53,2.999,-2.786,22.28,17,3,216
URI,236,66.53,3.517,-3.228,25.47,28,13,195
GEV,95,66.32,4.802,-4.088,27.17,19,2,74
FSLR,236,66.1,4.378,-4.825,26.66,23,23,190
GEN,236,66.1,2.588,-2.452,21.63,11,7,218
HPE,236,66.1,3.279,-2.714,23.6,23,7,206
PHM,236,66.1,2.968,-2.975,25.06,23,8,205
PODD,236,66.1,3.794,-3.207,23.96,16,17,203
SYF,236,66.1,3.309,-2.828,23.36,19,10,207
ADSK,236,65.68,2.874,-2.937,21.44,12,11,213
ARES,236,65.68,3.309,-3.137,24.38,23,11,202
WAT,236,65.68,2.75,-2.749,21.92,14,10,212
SOLV,95,65.26,2.795,-2.794,21.52,2,2,91
CHTR,236,65.25,3.361,-2.707,22.26,10,20,206
DHI,236,65.25,3.159,-3.022,25.11,31,9,196
HPQ,236,65.25,2.932,-2.567,20.36,12,6,218
MCHP,236,65.25,3.749,-3.287,24.9,21,16,199
MOS,236,64.83,3.702,-3.927,26.01,20,17,199
AES,236,64.41,3.246,-2.918,23.29,17,13,206
CSGP,236,64.41,2.812,-3.238,21.96,12,10,214
EBAY,236,64.41,2.874,-2.634,21.63,16,6,214
PANW,236,64.41,3.188,-3.321,23.78,22,9,205
PYPL,236,64.41,3.512,-3.333,24.28,14,21,201
SNPS,236,64.41,2.954,-2.975,23.83,24,9,203
TGT,236,64.41,2.786,-2.466,21.21,13,8,215
UHS,236,64.41,3.001,-2.338,21.04,14,12,210
ABNB,236,63.98,3.686,-3.505,25.31,26,25,185
ADBE,236,63.98,2.909,-2.902,22.93,11,18,207
C,236,63.98,2.652,-2.448,21.54,11,5,220
CDNS,236,63.98,2.808,-2.908,23.42,25,6,205
EXPE,236,63.98,3.54,-3.578,24.52,20,12,204
NTAP,236,63.98,2.596,-2.554,20.61,12,8,216
WYNN,236,63.98,3.488,-3.541,23.16,11,10,215
ZBRA,236,63.98,3.452,-3.228,25.11,11,19,206
AVGO,236,63.56,3.518,-3.368,24.58,32,5,199
BA,236,63.56,3.107,-3.138,23.36,15,15,206
CFG,236,63.56,3.012,-2.662,22.64,17,10,209
CNC,236,63.56,3.011,-2.851,23.04,14,10,212
COF,236,63.56,2.924,-2.819,22.47,13,11,212
CVS,236,63.56,2.608,-2.421,19.18,6,3,227
GPN,236,63.56,2.942,-2.683,21.22,11,12,213
IBKR,236,63.56,2.936,-2.626,22.87,22,4,210
IVZ,236,63.56,3.205,-2.951,23.69,14,14,208
KEY,236,63.56,3.264,-2.786,22.25,17,7,212
MLM,236,63.56,2.42,-2.195,19.7,9,2,225
TTWO,236,63.56,2.522,-2.591,20.19,7,8,221
ULTA,236,63.56,2.94,-2.609,21.44,16,8,212
VTRS,236,63.56,2.788,-2.659,21.58,13,9,214
ANET,236,63.14,3.622,-3.917,28.71,44,14,178
APTV,236,63.14,3.43,-2.976,23.06,14,18,204
BF-B,236,63.14,2.312,-2.368,19.59,9,9,218
FCX,236,63.14,3.79,-3.873,27.03,32,16,188
FIX,236,63.14,3.314,-3.506,24.89,41,5,190
GE,236,63.14,2.693,-2.486,21.61,20,8,208
OXY,236,63.14,3.548,-3.412,22.32,21,7,208
PWR,236,63.14,2.895,-2.979,24.05,28,4,204
TFC,236,63.14,2.771,-2.473,20.88,11,6,219
VLO,236,63.14,3.107,-3.101,24.31,30,7,199
ABBV,236,62.71,2.039,-1.885,18.74,8,2,226
APO,236,62.71,3.258,-2.956,24.08,20,9,207
F,236,62.71,3.377,-2.902,23.91,23,14,199
LLY,236,62.71,2.859,-2.593,20.87,14,3,219
LVS,236,62.71,3.403,-3.412,22.97,18,13,205
NEM,236,62.71,3.013,-3.005,24.9,29,8,199
NRG,236,62.71,3.097,-2.943,21.33,17,8,211
ORCL,236,62.71,3.261,-2.772,24.19,23,12,201
RVTY,236,62.71,2.914,-2.937,20.78,8,10,218
TMO,236,62.71,2.282,-2.217,19.14,8,3,225
TSCO,236,62.71,2.403,-2.398,20.09,6,7,223
WDAY,236,62.71,3.129,-3.226,20.91,8,13,215
CPAY,236,62.29,2.648,-2.489,20.81,4,7,225
HAS,236,62.29,2.751,-2.65,20.39,10,8,218
KKR,236,62.29,3.462,-3.055,25.23,29,12,195
MTB,236,62.29,2.736,-2.469,20.99,10,4,222
MTD,236,62.29,2.69,-2.438,21.14,16,5,215
RJF,236,62.29,2.361,-2.317,20.57,8,4,224
ROST,236,62.29,2.533,-2.066,19.39,9,5,222
STLD,236,62.29,3.591,-3.129,24.46,29,7,200
SWK,236,62.29,3.236,-2.857,22.89,18,18,200
TKO,236,62.29,2.968,-2.448,21.94,19,3,214
AAPL,236,61.86,2.259,-2.032,19.3,8,6,222
AXON,236,61.86,3.495,-3.978,25.11,22,19,195
CMI,236,61.86,2.534,-2.323,20.87,17,4,215
ELV,236,61.86,2.499,-2.217,19.08,10,4,222
EME,236,61.86,2.756,-2.617,21.08,19,4,213
FANG,236,61.86,3.19,-3.47,22.75,21,7,208
HAL,236,61.86,3.377,-3.379,23.78,28,11,197
IDXX,236,61.86,2.722,-2.634,21.04,11,6,219
INTC,236,61.86,4.171,-3.83,23.58,20,13,203
INTU,236,61.86,2.776,-3.078,21.3,9,14,213
LUV,236,61.86,3.208,-3.408,22.77,10,14,212
QCOM,236,61.86,3.217,-2.838,22.28,16,9,211
SHW,236,61.86,2.296,-2.162,20.3,10,3,223
CCI,236,61.44,2.34,-2.084,19.2,6,5,225
GM,236,61.44,2.901,-2.758,24.1,23,19,194
MSI,236,61.44,2.014,-1.696,18.43,3,4,229
NEE,236,61.44,2.448,-2.156,19.94,4,7,225
PH,236,61.44,2.335,-2.296,20.01,11,2,223
ROK,236,61.44,2.628,-2.464,21.58,15,6,215
SLB,236,61.44,3.104,-3.299,22.4,15,9,212
WELL,236,61.44,2.103,-1.825,18.41,8,1,227
ACGL,236,61.02,2.149,-1.838,16.56,2,0,234
AIG,236,61.02,2.067,-2.162,18.03,1,4,231
EIX,236,61.02,2.278,-1.837,18.4,4,5,227
FIS,236,61.02,2.516,-2.371,19.86,4,11,221
FISV,236,61.02,2.371,-2.224,18.42,4,10,222
GOOGL,236,61.02,2.549,-2.75,23.25,20,5,211
MGM,236,61.02,3.367,-3.302,23.45,21,11,204
PCAR,236,61.02,2.095,-2.209,19.72,10,4,222
REGN,236,61.02,2.433,-2.267,20.14,10,7,219
RL,236,61.02,3.085,-3.189,23.25,17,5,214
BALL,236,60.59,2.577,-2.588,20.92,4,6,226
CLX,236,60.59,2.153,-1.923,18.66,2,7,227
CRM,236,60.59,2.786,-2.961,23.41,17,13,206
DOV,236,60.59,2.219,-1.917,20.09,6,3,227
DVN,236,60.59,3.362,-3.498,23.24,19,9,208
EL,236,60.59,3.352,-3.171,25.03,18,21,197
FOX,236,60.59,2.23,-1.952,18.43,8,3,225
JBHT,236,60.59,2.708,-2.463,20.29,14,7,215
JBL,236,60.59,3.072,-3.106,23.0,22,6,208
MAS,236,60.59,2.716,-2.236,22.11,10,9,217
TDG,236,60.59,2.386,-2.38,18.96,6,1,229
TXN,236,60.59,2.604,-2.268,21.47,11,5,220
CTRA,234,60.26,2.914,-2.87,21.03,15,4,215
AXP,236,60.17,2.392,-2.197,20.19,8,5,223
CF,236,60.17,3.28,-3.212,23.64,20,5,211
DLR,236,60.17,2.474,-2.361,20.46,9,6,221
ERIE,236,60.17,2.392,-2.043,18.77,7,6,223
GDDY,236,60.17,2.632,-2.479,20.56,6,5,225
ISRG,236,60.17,2.662,-2.313,21.28,14,9,213
LYV,236,60.17,2.966,-2.738,22.36,20,8,208
MS,236,60.17,2.476,-2.328,20.61,10,6,220
NXPI,236,60.17,3.22,-3.345,24.12,21,12,203
SCHW,236,60.17,2.614,-2.575,20.9,10,11,215
VMC,236,60.17,2.354,-2.05,19.04,12,3,221
WY,236,60.17,2.283,-2.115,19.02,5,3,228
ADI,236,59.75,2.735,-2.45,21.69,21,5,210
AZO,236,59.75,2.21,-1.973,18.39,10,2,224
CARR,236,59.75,2.532,-2.535,21.17,13,4,219
COO,236,59.75,2.46,-2.171,19.15,6,6,224
COST,236,59.75,2.041,-1.752,17.53,4,1,231
DPZ,236,59.75,2.587,-2.068,20.88,12,12,212
FITB,236,59.75,2.809,-2.369,21.22,12,7,217
HUBB,236,59.75,2.479,-2.594,22.08,17,2,217
IQV,236,59.75,2.625,-2.602,21.27,14,14,208
IT,236,59.75,2.894,-2.363,20.11,12,11,213
