match_key,ticker,setup_type,direction,entry_day,sample_size,winning_trades,losing_trades,win_rate_pct,avg_pnl_pct,median_pnl_pct,avg_max_favorable_pct,avg_max_adverse_pct,profit_factor,recommended_score_adjustment,block_trade
setup_direction_any_day,ANY,MOMENTUM_CONTINUATION,UP,ANY,1159,1016,142,87.6618,1.5887,2.595,6.2865,-1.6467,3.615,10,False
setup_direction_day,ANY,MOMENTUM_CONTINUATION,UP,MONDAY,477,422,55,88.4696,1.7151,2.595,5.8019,-1.7603,4.3996,10,False
setup_direction_day,ANY,MOMENTUM_CONTINUATION,UP,TUESDAY,357,315,42,88.2353,1.5791,2.595,6.5729,-1.5745,3.4727,10,False
setup_direction_day,ANY,MOMENTUM_CONTINUATION,UP,WEDNESDAY,325,279,45,85.8462,1.4136,2.595,6.6832,-1.5592,2.9509,10,False
ticker_setup_direction_any_day,SNDK,MOMENTUM_CONTINUATION,UP,ANY,52,48,4,92.3077,1.8539,2.595,9.9194,-1.5068,4.4239,10,False
ticker_setup_direction_any_day,LITE,MOMENTUM_CONTINUATION,UP,ANY,42,39,3,92.8571,1.83,2.595,7.6494,-1.7885,4.2025,10,False
ticker_setup_direction_any_day,APP,MOMENTUM_CONTINUATION,UP,ANY,33,30,3,90.9091,1.7203,2.595,6.5074,-1.8971,3.9903,10,False
ticker_setup_direction_any_day,MU,MOMENTUM_CONTINUATION,UP,ANY,24,22,1,91.6667,2.2147,2.595,6.5856,-1.2453,14.5046,9,False
ticker_setup_direction_any_day,STX,MOMENTUM_CONTINUATION,UP,ANY,20,19,1,95.0,2.1213,2.595,8.7245,-1.4566,9.6921,9,False
ticker_setup_direction_any_day,CVNA,MOMENTUM_CONTINUATION,UP,ANY,28,26,2,92.8571,2.0374,2.595,5.8374,-1.1794,7.7735,9,False
ticker_setup_direction_any_day,MRNA,MOMENTUM_CONTINUATION,UP,ANY,20,19,1,95.0,2.0652,2.595,10.5945,-1.7457,6.1631,9,False
ticker_setup_direction_any_day,INTC,MOMENTUM_CONTINUATION,UP,ANY,26,23,3,88.4615,1.622,2.595,8.5434,-1.8847,3.408,9,False
ticker_setup_direction_any_day,PLTR,MOMENTUM_CONTINUATION,UP,ANY,28,25,3,89.2857,1.5674,2.595,5.7095,-2.2841,3.0912,9,False
ticker_setup_direction_any_day,WDC,MOMENTUM_CONTINUATION,UP,ANY,25,22,3,88.0,1.5007,2.595,8.4384,-1.7526,2.9168,9,False
ticker_setup_direction_any_day,HOOD,MOMENTUM_CONTINUATION,UP,ANY,36,30,6,83.3333,1.2039,2.595,6.4021,-2.3104,2.2559,9,False
ticker_setup_direction_any_day,SATS,MOMENTUM_CONTINUATION,UP,ANY,29,26,3,89.6552,1.4267,2.595,6.2466,-2.0688,2.724,8,False
ticker_setup_direction_any_day,COIN,MOMENTUM_CONTINUATION,UP,ANY,23,18,5,78.2609,0.4503,2.595,8.6197,-3.0422,1.2849,7,False
ticker_setup_direction_any_day,AMD,MOMENTUM_CONTINUATION,UP,ANY,19,19,0,100.0,2.595,2.595,7.6906,-1.2461,99.0,0,False
ticker_setup_direction_any_day,UAL,MOMENTUM_CONTINUATION,UP,ANY,11,11,0,100.0,2.595,2.595,5.2373,-1.1535,99.0,0,False
ticker_setup_direction_any_day,DELL,MOMENTUM_CONTINUATION,UP,ANY,10,10,0,100.0,2.595,2.595,7.5873,-1.2774,99.0,0,False
ticker_setup_direction_any_day,NCLH,MOMENTUM_CONTINUATION,UP,ANY,9,9,0,100.0,2.595,2.595,5.3158,-0.2946,99.0,0,False
ticker_setup_direction_any_day,ON,MOMENTUM_CONTINUATION,UP,ANY,9,9,0,100.0,2.595,2.595,8.8502,-0.2817,99.0,0,False
ticker_setup_direction_any_day,AXON,MOMENTUM_CONTINUATION,UP,ANY,7,7,0,100.0,2.1416,2.595,5.7103,-0.8339,99.0,0,False
ticker_setup_direction_any_day,CRWD,MOMENTUM_CONTINUATION,UP,ANY,7,7,0,100.0,2.595,2.595,6.5803,-0.1363,99.0,0,False
ticker_setup_direction_any_day,FIX,MOMENTUM_CONTINUATION,UP,ANY,7,7,0,100.0,2.307,2.595,4.8919,-1.4399,99.0,0,False
ticker_setup_direction_any_day,XYZ,MOMENTUM_CONTINUATION,UP,ANY,7,7,0,100.0,2.595,2.595,6.6376,-0.1743,99.0,0,False
ticker_setup_direction_any_day,AES,MOMENTUM_CONTINUATION,UP,ANY,6,6,0,100.0,2.595,2.595,4.0013,-0.5873,99.0,0,False
ticker_setup_direction_any_day,DDOG,MOMENTUM_CONTINUATION,UP,ANY,6,6,0,100.0,2.595,2.595,4.9455,-0.9523,99.0,0,False
ticker_setup_direction_any_day,GNRC,MOMENTUM_CONTINUATION,UP,ANY,6,6,0,100.0,2.2458,2.595,9.3467,-0.2952,99.0,0,False
ticker_setup_direction_any_day,NVDA,MOMENTUM_CONTINUATION,UP,ANY,6,6,0,100.0,2.2458,2.595,4.3793,-1.3428,99.0,0,False
ticker_setup_direction_any_day,ANET,MOMENTUM_CONTINUATION,UP,ANY,5,5,0,100.0,2.595,2.595,4.4622,-1.5286,99.0,0,False
ticker_setup_direction_any_day,HPE,MOMENTUM_CONTINUATION,UP,ANY,5,5,0,100.0,2.595,2.595,7.3312,-0.5704,99.0,0,False
ticker_setup_direction_any_day,WYNN,MOMENTUM_CONTINUATION,UP,ANY,5,5,0,100.0,2.595,2.595,5.2822,-0.424,99.0,0,False
ticker_setup_direction_any_day,ADI,MOMENTUM_CONTINUATION,UP,ANY,4,4,0,100.0,2.595,2.595,5.453,0.0,99.0,0,False
ticker_setup_direction_any_day,CHTR,MOMENTUM_CONTINUATION,UP,ANY,4,4,0,100.0,2.595,2.595,5.793,-0.1618,99.0,0,False
ticker_setup_direction_any_day,HUM,MOMENTUM_CONTINUATION,UP,ANY,4,4,0,100.0,2.1963,2.595,6.9058,-1.8322,99.0,0,False
ticker_setup_direction_any_day,IDXX,MOMENTUM_CONTINUATION,UP,ANY,4,4,0,100.0,1.5475,1.5475,3.6803,-1.591,99.0,0,False
ticker_setup_direction_any_day,LRCX,MOMENTUM_CONTINUATION,UP,ANY,4,4,0,100.0,2.595,2.595,7.9588,-2.0305,99.0,0,False
ticker_setup_direction_any_day,RCL,MOMENTUM_CONTINUATION,UP,ANY,4,4,0,100.0,2.595,2.595,5.6187,0.0,99.0,0,False
ticker_setup_direction_any_day,REGN,MOMENTUM_CONTINUATION,UP,ANY,4,4,0,100.0,2.595,2.595,4.9907,-0.2675,99.0,0,False
ticker_setup_direction_any_day,RVTY,MOMENTUM_CONTINUATION,UP,ANY,4,4,0,100.0,2.595,2.595,5.6815,0.0,99.0,0,False
ticker_setup_direction_any_day,VTRS,MOMENTUM_CONTINUATION,UP,ANY,4,4,0,100.0,2.595,2.595,5.9785,0.0,99.0,0,False
ticker_setup_direction_any_day,AMAT,MOMENTUM_CONTINUATION,UP,ANY,3,3,0,100.0,2.1757,2.595,4.303,-0.8333,99.0,0,False
ticker_setup_direction_any_day,BKR,MOMENTUM_CONTINUATION,UP,ANY,3,3,0,100.0,1.8967,2.595,6.07,-1.4173,99.0,0,False
ticker_setup_direction_any_day,CASY,MOMENTUM_CONTINUATION,UP,ANY,3,3,0,100.0,1.8967,2.595,3.82,-0.9873,99.0,0,False
ticker_setup_direction_any_day,CHRW,MOMENTUM_CONTINUATION,UP,ANY,3,3,0,100.0,1.7367,2.595,2.9327,-0.4333,99.0,0,False
ticker_setup_direction_any_day,CVS,MOMENTUM_CONTINUATION,UP,ANY,3,3,0,100.0,2.595,2.595,5.7933,-0.563,99.0,0,False
ticker_setup_direction_any_day,DHI,MOMENTUM_CONTINUATION,UP,ANY,3,3,0,100.0,2.595,2.595,4.85,-0.804,99.0,0,False
ticker_setup_direction_any_day,DVA,MOMENTUM_CONTINUATION,UP,ANY,3,3,0,100.0,2.595,2.595,14.1037,0.0,99.0,0,False
ticker_setup_direction_any_day,EXPE,MOMENTUM_CONTINUATION,UP,ANY,3,3,0,100.0,2.595,2.595,4.424,-0.363,99.0,0,False
ticker_setup_direction_any_day,GRMN,MOMENTUM_CONTINUATION,UP,ANY,3,3,0,100.0,2.595,2.595,6.3013,0.0,99.0,0,False
ticker_setup_direction_any_day,HII,MOMENTUM_CONTINUATION,UP,ANY,3,3,0,100.0,1.518,1.459,3.103,-2.9187,99.0,0,False
ticker_setup_direction_any_day,IBKR,MOMENTUM_CONTINUATION,UP,ANY,3,3,0,100.0,2.595,2.595,4.9163,-0.4847,99.0,0,False
ticker_setup_direction_any_day,IVZ,MOMENTUM_CONTINUATION,UP,ANY,3,3,0,100.0,2.595,2.595,6.2213,-0.3463,99.0,0,False
ticker_setup_direction_any_day,LLY,MOMENTUM_CONTINUATION,UP,ANY,3,3,0,100.0,2.595,2.595,3.2213,-0.3907,99.0,0,False
ticker_setup_direction_any_day,LVS,MOMENTUM_CONTINUATION,UP,ANY,3,3,0,100.0,2.0307,2.595,3.039,-1.5437,99.0,0,False
ticker_setup_direction_any_day,NTRS,MOMENTUM_CONTINUATION,UP,ANY,3,3,0,100.0,2.595,2.595,3.954,-0.3447,99.0,0,False
ticker_setup_direction_any_day,PANW,MOMENTUM_CONTINUATION,UP,ANY,3,3,0,100.0,2.595,2.595,7.938,-1.5793,99.0,0,False
ticker_setup_direction_any_day,PODD,MOMENTUM_CONTINUATION,UP,ANY,3,3,0,100.0,2.595,2.595,6.7043,-0.046,99.0,0,False
ticker_setup_direction_any_day,QCOM,MOMENTUM_CONTINUATION,UP,ANY,3,3,0,100.0,2.595,2.595,15.8023,-2.625,99.0,0,False
ticker_setup_direction_any_day,AMT,MOMENTUM_CONTINUATION,UP,ANY,2,2,0,100.0,2.595,2.595,4.473,0.0,99.0,0,False
ticker_setup_direction_any_day,BA,MOMENTUM_CONTINUATION,UP,ANY,2,2,0,100.0,2.595,2.595,4.194,-0.227,99.0,0,False
ticker_setup_direction_any_day,CAH,MOMENTUM_CONTINUATION,UP,ANY,2,2,0,100.0,2.595,2.595,4.091,-0.3585,99.0,0,False
ticker_setup_direction_any_day,CMCSA,MOMENTUM_CONTINUATION,UP,ANY,2,2,0,100.0,2.595,2.595,5.69,0.0,99.0,0,False
ticker_setup_direction_any_day,DASH,MOMENTUM_CONTINUATION,UP,ANY,2,2,0,100.0,2.595,2.595,10.2735,-0.441,99.0,0,False
ticker_setup_direction_any_day,DXCM,MOMENTUM_CONTINUATION,UP,ANY,2,2,0,100.0,2.595,2.595,6.7495,0.0,99.0,0,False
ticker_setup_direction_any_day,EPAM,MOMENTUM_CONTINUATION,UP,ANY,2,2,0,100.0,2.595,2.595,5.7495,0.0,99.0,0,False
ticker_setup_direction_any_day,EQT,MOMENTUM_CONTINUATION,UP,ANY,2,2,0,100.0,2.595,2.595,4.7285,-0.4745,99.0,0,False
ticker_setup_direction_any_day,HSY,MOMENTUM_CONTINUATION,UP,ANY,2,2,0,100.0,2.595,2.595,9.2865,0.0,99.0,0,False
ticker_setup_direction_any_day,HWM,MOMENTUM_CONTINUATION,UP,ANY,2,2,0,100.0,2.595,2.595,3.908,-0.1485,99.0,0,False
ticker_setup_direction_any_day,IBM,MOMENTUM_CONTINUATION,UP,ANY,2,2,0,100.0,1.5475,1.5475,3.6455,-1.5345,99.0,0,False
ticker_setup_direction_any_day,IQV,MOMENTUM_CONTINUATION,UP,ANY,2,2,0,100.0,2.595,2.595,10.927,0.0,99.0,0,False
ticker_setup_direction_any_day,KLAC,MOMENTUM_CONTINUATION,UP,ANY,2,2,0,100.0,1.447,1.447,3.4815,-0.4705,99.0,0,False
ticker_setup_direction_any_day,KVUE,MOMENTUM_CONTINUATION,UP,ANY,2,2,0,100.0,2.595,2.595,3.7275,0.0,99.0,0,False
ticker_setup_direction_any_day,LEN,MOMENTUM_CONTINUATION,UP,ANY,2,2,0,100.0,1.3355,1.3355,2.36,-0.5375,99.0,0,False
ticker_setup_direction_any_day,MPWR,MOMENTUM_CONTINUATION,UP,ANY,2,2,0,100.0,2.595,2.595,4.4235,-1.482,99.0,0,False
ticker_setup_direction_any_day,RMD,MOMENTUM_CONTINUATION,UP,ANY,2,2,0,100.0,2.2285,2.2285,5.7485,0.0,99.0,0,False
ticker_setup_direction_any_day,ROK,MOMENTUM_CONTINUATION,UP,ANY,2,2,0,100.0,2.595,2.595,5.357,0.0,99.0,0,False
ticker_setup_direction_any_day,SBAC,MOMENTUM_CONTINUATION,UP,ANY,2,2,0,100.0,2.595,2.595,5.9075,0.0,99.0,0,False
ticker_setup_direction_any_day,SLB,MOMENTUM_CONTINUATION,UP,ANY,2,2,0,100.0,2.595,2.595,3.606,0.0,99.0,0,False
