ticker,entry_date,exit_date,entry_day,side,instrument,setup_type,direction,conviction,history_rate,history_avg_best_pct,capital_at_risk,pnl_pct,pnl_usd,exit_reason_proxy,source_exit_reason,max_favorable_pct,max_adverse_pct,capital_after_exit,week_key
MRNA,2024-05-20,2024-05-21,Monday,LONG,STOCK,MOMENTUM_CONTINUATION,UP,100,74.68,3.053,1000.0,2.595,25.95,HISTORY_TARGET,HISTORY_TARGET,8.189,0.0,5025.95,2024-21
SATS,2024-05-20,2024-05-21,Monday,LONG,STOCK,MOMENTUM_CONTINUATION,UP,100,74.68,3.053,1000.0,2.595,25.95,HISTORY_TARGET,HISTORY_TARGET,6.492,0.0,5051.9,2024-21
HOOD,2024-05-20,2024-05-21,Monday,LONG,STOCK,MOMENTUM_CONTINUATION,UP,100,74.68,3.053,1000.0,2.595,25.95,HISTORY_TARGET,HISTORY_TARGET,6.369,0.0,5077.85,2024-21
SMCI,2024-05-20,2024-05-21,Monday,LONG,STOCK,MOMENTUM_CONTINUATION,UP,100,74.68,3.053,1000.0,2.595,25.95,HISTORY_TARGET,HISTORY_TARGET,4.206,-2.686,5103.8,2024-21
FSLR,2024-05-21,2024-05-22,Tuesday,LONG,STOCK,MOMENTUM_CONTINUATION,UP,100,74.68,3.053,1020.76,2.595,26.49,HISTORY_TARGET,HISTORY_TARGET,28.466,0.0,5130.29,2024-21
MRNA,2024-05-21,2024-05-22,Tuesday,LONG,STOCK,MOMENTUM_CONTINUATION,UP,100,74.68,3.053,1020.76,2.595,26.49,HISTORY_TARGET,HISTORY_TARGET,18.219,0.0,5156.78,2024-21
TER,2024-05-21,2024-05-22,Tuesday,LONG,STOCK,MOMENTUM_CONTINUATION,UP,100,74.68,3.053,1020.76,2.595,26.49,HISTORY_TARGET,HISTORY_TARGET,3.819,0.0,5183.27,2024-21
DELL,2024-05-20,2024-05-23,Monday,LONG,STOCK,MOMENTUM_CONTINUATION,UP,100,74.68,3.053,1000.0,2.595,25.95,HISTORY_TARGET,HISTORY_TARGET,7.826,-4.573,5209.22,2024-21
HOOD,2024-05-21,2024-05-23,Tuesday,LONG,STOCK,MOMENTUM_CONTINUATION,UP,100,74.68,3.053,1020.76,-8.0,-81.66,STOP_LOSS,STOP_LOSS,0.0,-9.149,5127.56,2024-21
FSLR,2024-05-22,2024-05-23,Wednesday,LONG,STOCK,MOMENTUM_CONTINUATION,UP,100,74.68,3.053,1036.65,2.595,26.9,HISTORY_TARGET,HISTORY_TARGET,18.117,0.0,5154.46,2024-21
